Replicon	models
BRME001.0321.00039.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00039.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00040.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00040.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00041.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00041.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00042.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00042.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00043.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00043.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00044.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00044.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00045.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00045.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00046.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00046.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00047.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00047.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00048.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00048.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00049.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00049.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00050.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00050.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00051.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00051.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00052.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00052.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00053.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00053.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00054.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00054.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00055.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00055.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00056.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00056.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00057.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00057.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00058.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00058.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00059.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00059.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00060.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00060.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00061.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00061.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00062.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00062.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00063.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00063.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00064.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME001.0321.00064.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRME002.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRMI001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRMI001.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRMU001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRNA001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRNA001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRNA001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRNI001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BROL001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BROT001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BROV001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BROV001.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPA001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPI001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPI001.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPI001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPI001.0321.00002.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPI001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPI001.0321.00003.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPI002.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPI002.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRPI002.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRRU001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSA001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSE001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP002.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP002.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP003.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP003.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP004.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP005.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP008.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP009.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP010.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP010.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP011.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP011.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP012.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP012.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP013.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP014.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP015.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP016.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP017.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP018.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP018.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP019.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP019.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP020.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP021.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP022.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP022.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP023.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP024.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP024.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP025.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP025.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP026.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP027.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP028.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP029.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP030.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP031.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP032.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP033.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP034.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP035.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP035.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP036.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP037.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP038.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP039.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP039.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP040.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP041.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP042.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP042.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP043.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP044.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP045.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP045.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP045.0321.00001.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP046.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP046.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP046.0321.00001.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP047.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP048.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP048.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP049.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP050.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP051.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP051.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP052.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP053.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP053.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSP054.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00002.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00003.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00004.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00004.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00005.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00005.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00006.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00006.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00007.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00007.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00008.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00008.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00009.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00009.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00010.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00010.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00011.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00011.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00012.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00012.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00013.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00013.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00014.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00014.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00015.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00015.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00016.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00016.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00017.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00017.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00018.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00018.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00019.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00019.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00020.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00020.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00021.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00021.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00022.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU001.0321.00022.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSU002.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSY001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSY001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSY001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRSY001.0321.00004.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRTH001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRTH001.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRTH001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRTH001.0321.00002.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRTH001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRTH001.0321.00004.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRTH001.0321.00005.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRVA001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRVE001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRVI001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRVO001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRVU001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BRZH001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAG001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00001.C003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00001.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00002.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00002.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00002.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00002.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00002.P006	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00002.P007	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00003.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00003.C003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00003.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00004.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00004.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00004.C003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00004.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00005.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00005.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00005.C003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAM001.0321.00005.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAN001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAN001.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00001.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00001.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00003.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00003.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00004.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00004.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00004.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00005.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00005.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00005.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00006.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00007.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00008.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00009.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00010.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00011.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00011.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00012.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00012.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00013.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00013.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00013.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00014.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00015.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00016.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00016.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00016.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00017.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00017.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00017.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00018.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00019.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00019.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00019.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00020.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00020.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00020.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00021.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00021.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00022.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00022.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00023.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00023.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00024.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00024.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00025.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00025.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00025.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00026.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00026.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00026.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00027.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00028.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00028.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00028.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00029.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00030.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00030.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00031.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00031.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00031.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00032.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00032.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00032.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00033.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00033.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00033.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00034.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00034.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00034.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00035.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00035.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUAP001.0321.00035.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00001.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00001.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00001.C003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00002.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00003.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00003.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00004.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00004.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00004.C003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00005.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00005.C002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00005.C003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
BUCE001.0321.00005.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
