Replicon	models
ACBA002.0321.00016.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00016.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00016.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00017.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00017.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00018.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00018.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00019.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00019.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00020.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00020.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00020.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00021.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00022.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00023.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00024.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00025.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00026.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00027.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00027.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00027.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00028.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00028.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00029.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00029.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00029.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00029.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00030.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00030.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00030.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00031.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00031.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00032.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00033.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00033.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00034.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00034.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00035.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00035.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00036.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00036.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00037.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00037.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00038.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00038.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00039.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00039.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00040.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00040.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00041.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00041.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00042.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00042.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00042.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00042.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00043.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00043.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00044.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00044.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00045.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00045.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00046.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00046.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00046.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00047.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00047.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00047.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00048.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00048.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00049.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00049.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00049.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00050.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00051.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00051.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00052.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00052.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00053.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00053.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00054.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00054.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00054.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00055.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00055.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00056.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00057.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00057.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00058.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00059.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00059.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00060.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00061.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00061.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00061.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00062.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00062.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00063.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00063.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00064.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00064.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00064.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00064.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00064.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00064.P006	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00065.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00065.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00065.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00066.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00066.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00067.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00067.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00067.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00068.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00068.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00069.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00070.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00071.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00072.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00072.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00073.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00073.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00073.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00073.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00073.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00074.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00074.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00074.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00074.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00075.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00075.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00076.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00077.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00077.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00077.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00078.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00078.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00079.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00079.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00079.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00079.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00080.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00080.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00080.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00081.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00081.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00081.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00082.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
